timestamp,lidar_pcd,lidar_npy,labels,image_SC_R1_Ae_CpcN_CAMR,image_SC_R1_Be_CpcN_CAMR,image_SC_R1_Ce_CpcN_CAMR,image_SC_R1_De_CpcN_CAMR
1753701446899737835,True,True,True,True,True,True,True
1753701447399740934,True,True,True,True,True,True,True
1753701447899734974,True,True,True,True,True,True,True
1753701448399737835,True,True,True,True,True,True,True
1753701448899735212,True,True,True,True,True,True,True
1753701449399742842,True,True,True,True,True,True,True
1753701449899731636,True,True,True,True,True,True,True
1753701450399737597,True,True,True,True,True,True,True
1753701450899733782,True,True,True,True,True,True,True
1753701451399736881,True,True,True,True,True,True,True
1753701451899737835,True,True,True,True,True,True,True
1753701452399734020,True,True,True,True,True,True,True
1753701452899735928,True,True,True,True,True,True,True
1753701453399738550,True,True,True,True,True,True,True
1753701453899740219,True,True,True,True,True,True,True
1753701454399740934,True,True,True,True,True,True,True
1753701454899726152,True,True,True,True,True,True,True
1753701455399734259,True,True,True,True,True,True,True
1753701455899740696,True,True,True,True,True,True,True
1753701456399739504,True,True,True,True,True,True,True
1753701456899730206,True,True,True,True,True,True,True
1753701457399732113,True,True,True,True,True,True,True
1753701457899736404,True,True,True,True,True,True,True
1753701458399741173,True,True,True,True,True,True,True
1753701458899725437,True,True,True,True,True,True,True
1753701459399742842,True,True,True,True,True,True,True
1753701459899733782,True,True,True,True,True,True,True
1753701460399735928,True,True,True,True,True,True,True
1753701460899730682,True,True,True,True,True,True,True
1753701461399739742,True,True,True,True,True,True,True
1753701461899734974,True,True,True,True,True,True,True
1753701462399739504,True,True,True,True,True,True,True
1753701462899735451,True,True,True,True,True,True,True
1753701463399748087,True,True,True,True,True,True,True
1753701463899734259,True,True,True,True,True,True,True
1753701464399739504,True,True,True,True,True,True,True
1753701464899739027,True,True,True,True,True,True,True
1753701465399736881,True,True,True,True,True,True,True
1753701465899730444,True,True,True,True,True,True,True
1753701466399744272,True,True,True,True,True,True,True
1753701466899732351,True,True,True,True,True,True,True
1753701467399743557,True,True,True,True,True,True,True
1753701467899730921,True,True,True,True,True,True,True
1753701468399735689,True,True,True,True,True,True,True
1753701468899733067,True,True,True,True,True,True,True
1753701469399738073,True,True,True,True,True,True,True
1753701469899737358,True,True,True,True,True,True,True
1753701470399743557,True,True,True,True,True,True,True
1753701470899732828,True,True,True,True,True,True,True
1753701471399745226,True,True,True,True,True,True,True
1753701471899727345,True,True,True,True,True,True,True
1753701472399740219,True,True,True,True,True,True,True
1753701472899727583,True,True,True,True,True,True,True
1753701473899738789,True,True,True,True,True,True,True
1753701474399733543,True,True,True,True,True,True,True
1753701474899733782,True,True,True,True,True,True,True
1753701475399735451,True,True,True,True,True,True,True
1753701475899731636,True,True,True,True,True,True,True
1753701476399729967,True,True,True,True,True,True,True
1753701476899725199,True,True,True,True,True,True,True
1753701477399729729,True,True,True,True,True,True,True
1753701477899717569,True,True,True,True,True,True,True
1753701478399703979,True,True,True,True,True,True,True
1753701478899707794,True,True,True,True,True,True,True
1753701479399729967,True,True,True,True,True,True,True
1753701479899722576,True,True,True,True,True,True,True
1753701480399720669,True,True,True,True,True,True,True
1753701480899720907,True,True,True,True,True,True,True
1753701481399726391,True,True,True,True,True,True,True
1753701481899722815,True,True,True,True,True,True,True
1753701482399727821,True,True,True,True,True,True,True
1753701482899721384,True,True,True,True,True,True,True
1753701483399730921,True,True,True,True,True,True,True
1753701483899719000,True,True,True,True,True,True,True
1753701484399727821,True,True,True,True,True,True,True
1753701484899718761,True,True,True,True,True,True,True
1753701485399719954,True,True,True,True,True,True,True
1753701485899716139,True,True,True,True,True,True,True
1753701486399723530,True,True,True,True,True,True,True
1753701486899714708,True,True,True,True,True,True,True
1753701487399728060,True,True,True,True,True,True,True
1753701487899719238,True,True,True,True,True,True,True
1753701488399728298,True,True,True,True,True,True,True
1753701488899707079,True,True,True,True,True,True,True
1753701489399717093,True,True,True,True,True,True,True
1753701489899722576,True,True,True,True,True,True,True
1753701490399722815,True,True,True,True,True,True,True
1753701490899709702,True,True,True,True,True,True,True
1753701491399717569,True,True,True,True,True,True,True
1753701491899716616,True,True,True,True,True,True,True
1753701492399725914,True,True,True,True,True,True,True
1753701492899696112,True,True,True,True,True,True,True
1753701493399710655,True,True,True,True,True,True,True
1753701493899714947,True,True,True,True,True,True,True
1753701494399717093,True,True,True,True,True,True,True
1753701494899712324,True,True,True,True,True,True,True
1753701495399723291,True,True,True,True,True,True,True
1753701495899721146,True,True,True,True,True,True,True
1753701496399704456,True,True,True,True,True,True,True
1753701496899708509,True,True,True,True,True,True,True
1753701497399722815,True,True,True,True,True,True,True
1753701497899711132,True,True,True,True,True,True,True
1753701498399720669,True,True,True,True,True,True,True
1753701498899697781,True,True,True,True,True,True,True
1753701499399708509,True,True,True,True,True,True,True
1753701499899710178,True,True,True,True,True,True,True
1753701500399724483,True,True,True,True,True,True,True
1753701500899709463,True,True,True,True,True,True,True
1753701501399717569,True,True,True,True,True,True,True
1753701501899716854,True,True,True,True,True,True,True
1753701502399720907,True,True,True,True,True,True,True
1753701502899701118,True,True,True,True,True,True,True
1753701503399706364,True,True,True,True,True,True,True
1753701503899706364,True,True,True,True,True,True,True
1753701504399718046,True,True,True,True,True,True,True
1753701505399723053,True,True,True,True,True,True,True
1753701505899710417,True,True,True,True,True,True,True
1753701506399725437,True,True,True,True,True,True,True
