metric,final_value,mean_value,min_value,max_value,data_points
train/loss/object/heatmap/task0,0.5125213265419006,0.6249499297841932,0.4784383475780487,1.010192632675171,528
train/loss/object/bbox/task0,0.12655074894428253,0.14125962326811117,0.12352490425109863,0.18027742207050323,528
train/loss/object/heatmap/task1,0.18997500836849213,0.8970718498087742,0.13934655487537384,4.22645378112793,528
train/loss/object/bbox/task1,0.08854382485151291,0.1589254287607742,0.0747562125325203,0.3885578215122223,528
train/loss/object/heatmap/task2,0.0929790809750557,0.7828219701169115,0.08529777824878693,6.078541278839111,528
train/loss/object/bbox/task2,0.06512168049812317,0.12270150881853294,0.060937922447919846,0.5515363216400146,528
train/loss/object/heatmap/task3,0.014321388676762581,0.042068441442538504,0.00949956476688385,0.15549926459789276,528
train/loss/object/bbox/task3,0.01841859519481659,0.03284679830892745,0.015259020030498505,0.06449922174215317,528
train/loss/object/heatmap/task4,0.38683202862739563,0.6024728832258419,0.3736630082130432,4.1540727615356445,528
train/loss/object/bbox/task4,0.12049126625061035,0.1707522271088127,0.11262549459934235,0.4704338312149048,528
train/loss/object/heatmap/task5,0.7076351046562195,0.9903537777788711,0.6716403961181641,1.7424705028533936,528
train/loss/object/bbox/task5,0.26789894700050354,0.3065971674566919,0.2630036175251007,0.42376983165740967,528
train/loss,2.5912890434265137,4.872821602405923,2.530900716781616,19.09632110595703,528
train/grad_norm,inf,inf,8.681944847106934,inf,528
val/object/car_ap_dist_0.5,0.0,0.04020625048527412,0.0,0.7172999978065491,48
val/object/car_ap_dist_1.0,0.02070000022649765,0.1291854165804883,0.015200000256299973,0.8616999983787537,48
val/object/car_ap_dist_2.0,0.4025000035762787,0.4993187505751848,0.3955000042915344,0.8852999806404114,48
val/object/car_ap_dist_4.0,0.5364000201225281,0.6077833337088426,0.5314000248908997,0.8959000110626221,48
val/object/car_trans_err,1.19350004196167,1.0383229128395517,0.20999999344348907,1.235700011253357,48
val/object/car_scale_err,0.2637999951839447,0.24213958407441774,0.13120000064373016,0.2791000008583069,48
val/object/car_orient_err,0.18150000274181366,0.16085416652883092,0.058400001376867294,0.19259999692440033,48
val/object/car_vel_err,1.0,1.0,1.0,1.0,48
val/object/car_attr_err,0.0,0.0,0.0,0.0,48
val/object/mATE,0.986299991607666,0.910656251013279,0.43799999356269836,1.0026999711990356,48
val/object/mASE,0.6717000007629395,0.6406541659186283,0.43479999899864197,0.6733999848365784,48
val/object/mAOE,0.6061999797821045,0.566110418488582,0.290800005197525,0.6140999794006348,48
val/object/mAVE,1.0,1.0,1.0,1.0,48
val/object/mAAE,0.75,0.734375,0.625,0.75,48
val/object/truck_ap_dist_0.5,0.009499999694526196,0.07099999916196491,0.006300000008195639,0.5655999779701233,48
val/object/truck_ap_dist_1.0,0.11959999799728394,0.22702500177547336,0.10159999877214432,0.7434999942779541,48
val/object/truck_ap_dist_2.0,0.34470000863075256,0.4778625015169382,0.325300008058548,0.8374999761581421,48
val/object/truck_ap_dist_4.0,0.532800018787384,0.6325916660328706,0.5138000249862671,0.8769999742507935,48
val/object/truck_trans_err,0.8278999924659729,0.7278979156787196,0.20229999721050262,0.8824999928474426,48
val/object/truck_scale_err,0.3646000027656555,0.3317625004177292,0.1891999989748001,0.37450000643730164,48
val/object/truck_orient_err,0.15889999270439148,0.15102291689254344,0.044199999421834946,0.1972000002861023,48
val/object/truck_vel_err,1.0,1.0,1.0,1.0,48
val/object/truck_attr_err,0.0,0.0,0.0,0.0,48
val/object/construction_vehicle_ap_dist_0.5,0.0,0.0,0.0,0.0,48
val/object/construction_vehicle_ap_dist_1.0,0.0,0.0,0.0,0.0,48
val/object/construction_vehicle_ap_dist_2.0,0.0,0.0,0.0,0.0,48
val/object/construction_vehicle_ap_dist_4.0,0.0,0.0,0.0,0.0,48
val/object/construction_vehicle_trans_err,1.0,1.0,1.0,1.0,48
val/object/construction_vehicle_scale_err,1.0,1.0,1.0,1.0,48
val/object/construction_vehicle_orient_err,1.0,1.0,1.0,1.0,48
val/object/construction_vehicle_vel_err,1.0,1.0,1.0,1.0,48
val/object/construction_vehicle_attr_err,1.0,1.0,1.0,1.0,48
val/object/bus_ap_dist_0.5,0.0,0.043935416472474266,0.0,0.5346999764442444,48
val/object/bus_ap_dist_1.0,0.13979999721050262,0.20373333416258296,0.07919999957084656,0.7588000297546387,48
val/object/bus_ap_dist_2.0,0.3452000021934509,0.42651874758303165,0.323199987411499,0.8572999835014343,48
val/object/bus_ap_dist_4.0,0.4586000144481659,0.5312375028928121,0.44350001215934753,0.9068999886512756,48
val/object/bus_trans_err,0.8712000250816345,0.7932916690285007,0.22259999811649323,1.0328999757766724,48
val/object/bus_scale_err,0.2935999929904938,0.2779854141796629,0.14309999346733093,0.3382999897003174,48
val/object/bus_orient_err,0.1818999946117401,0.1606395828227202,0.046300001442432404,0.25220000743865967,48
val/object/bus_vel_err,1.0,1.0,1.0,1.0,48
val/object/bus_attr_err,1.0,1.0,1.0,1.0,48
val/object/trailer_ap_dist_0.5,0.0,0.0351229170919396,0.0,0.6419000029563904,48
val/object/trailer_ap_dist_1.0,0.0,0.0526333333303531,0.0,0.7303000092506409,48
val/object/trailer_ap_dist_2.0,0.0,0.05827291589230299,0.0,0.736299991607666,48
val/object/trailer_ap_dist_4.0,0.0,0.05858749896287918,0.0,0.7386999726295471,48
val/object/trailer_trans_err,1.0,0.9312854163969556,0.17389999330043793,1.0,48
val/object/trailer_scale_err,1.0,0.9414812494069338,0.3792000114917755,1.0,48
val/object/trailer_orient_err,1.0,0.9038229170255363,0.08139999955892563,1.0,48
val/object/trailer_vel_err,1.0,1.0,1.0,1.0,48
val/object/trailer_attr_err,1.0,0.875,0.0,1.0,48
val/object/barrier_ap_dist_0.5,0.0,0.0,0.0,0.0,48
val/object/barrier_ap_dist_1.0,0.0,0.0,0.0,0.0,48
val/object/barrier_ap_dist_2.0,0.0,0.0,0.0,0.0,48
val/object/barrier_ap_dist_4.0,0.0,0.0,0.0,0.0,48
val/object/barrier_trans_err,1.0,1.0,1.0,1.0,48
val/object/barrier_scale_err,1.0,1.0,1.0,1.0,48
val/object/barrier_orient_err,1.0,1.0,1.0,1.0,48
val/object/barrier_vel_err,,,,,48
val/object/barrier_attr_err,,,,,48
val/object/motorcycle_ap_dist_0.5,0.010099999606609344,0.11020208235519628,0.00800000037997961,0.833299994468689,48
val/object/motorcycle_ap_dist_1.0,0.1136000007390976,0.30142083391547203,0.1071000024676323,0.9103000164031982,48
val/object/motorcycle_ap_dist_2.0,0.40310001373291016,0.5634020871172348,0.3774999976158142,0.9218000173568726,48
val/object/motorcycle_ap_dist_4.0,0.453900009393692,0.6099666661272446,0.4162999987602234,0.9243999719619751,48
val/object/motorcycle_trans_err,0.8763999938964844,0.7169270819673935,0.1371999979019165,0.9096999764442444,48
val/object/motorcycle_scale_err,0.4113999903202057,0.36811041676749784,0.16740000247955322,0.41929998993873596,48
val/object/motorcycle_orient_err,0.20149999856948853,0.18024375041325888,0.05290000140666962,0.2442999929189682,48
val/object/motorcycle_vel_err,1.0,1.0,1.0,1.0,48
val/object/motorcycle_attr_err,1.0,1.0,1.0,1.0,48
val/object/bicycle_ap_dist_0.5,0.0,0.05207916768267751,0.0,0.8978000283241272,48
val/object/bicycle_ap_dist_1.0,0.0,0.05278333198900024,0.0,0.9182999730110168,48
val/object/bicycle_ap_dist_2.0,0.0,0.05278333198900024,0.0,0.9182999730110168,48
val/object/bicycle_ap_dist_4.0,0.0,0.05278333198900024,0.0,0.9182999730110168,48
val/object/bicycle_trans_err,1.0,0.9038687503586212,0.15060000121593475,1.0,48
val/object/bicycle_scale_err,1.0,0.8962666663962106,0.10849999636411667,1.0,48
val/object/bicycle_orient_err,1.0,0.8896166668273509,0.07199999690055847,1.0,48
val/object/bicycle_vel_err,1.0,1.0,1.0,1.0,48
val/object/bicycle_attr_err,1.0,1.0,1.0,1.0,48
val/object/pedestrian_ap_dist_0.5,0.0,0.027897915988736106,0.0,0.5131999850273132,48
val/object/pedestrian_ap_dist_1.0,0.05350000038743019,0.129689583942915,0.04270000010728836,0.7391999959945679,48
val/object/pedestrian_ap_dist_2.0,0.36579999327659607,0.4468437482913335,0.3614000082015991,0.7976999878883362,48
val/object/pedestrian_ap_dist_4.0,0.5397999882698059,0.5948520824313164,0.5333999991416931,0.8201000094413757,48
val/object/pedestrian_trans_err,1.0937000513076782,0.9950020791341861,0.2840000092983246,1.1504000425338745,48
val/object/pedestrian_scale_err,0.3840000033378601,0.3487416651720802,0.22990000247955322,0.3894999921321869,48
val/object/pedestrian_orient_err,0.732200026512146,0.6488145794719458,0.25870001316070557,0.7735999822616577,48
val/object/pedestrian_vel_err,1.0,1.0,1.0,1.0,48
val/object/pedestrian_attr_err,1.0,1.0,1.0,1.0,48
val/object/traffic_cone_ap_dist_0.5,0.0,0.0,0.0,0.0,48
val/object/traffic_cone_ap_dist_1.0,0.0,0.0,0.0,0.0,48
val/object/traffic_cone_ap_dist_2.0,0.0,0.0,0.0,0.0,48
val/object/traffic_cone_ap_dist_4.0,0.0,0.0,0.0,0.0,48
val/object/traffic_cone_trans_err,1.0,1.0,1.0,1.0,48
val/object/traffic_cone_scale_err,1.0,1.0,1.0,1.0,48
val/object/traffic_cone_orient_err,,,,,48
val/object/traffic_cone_vel_err,,,,,48
val/object/traffic_cone_attr_err,,,,,48
val/object/nds,0.15919578075408936,0.20344807114452124,0.15765856206417084,0.5011467933654785,48
val/object/map,0.12123964726924896,0.17724339726070562,0.11951789259910583,0.5600374341011047,48
